Name,Season,MinPH,MaxPH,MinTemp,MaxTemp,MinRain,MaxRain,Details
Rubber,Any,5.5,6.5,20,30,150,300,Rubber requires hot, humid climate.
Jute,Kharif,6.0,7.5,24,35,120,200,Jute requires hot, humid climate with high rainfall.
Tobacco,Any,5.5,6.5,20,30,40,100,Tobacco is a cash crop grown in sandy loam soil.
Strawberry,Winter,5.5,6.5,10,20,60,100,Strawberries require cool climate and well-drained soil.
Pear,Winter,5.5,6.5,10,20,60,120,Pear grows in temperate climates with chilling winters.
Guava,Any,5.5,7.0,20,30,100,200,Guava is a hardy fruit grown in tropical regions.
Lychee,Summer,5.5,6.5,20,30,120,200,Lychee grows in tropical and subtropical regions.
Watermelon,Summer,6.0,7.5,22,30,50,100,Watermelon requires hot, dry climate with irrigation.
Melon,Summer,6.0,7.5,20,30,40,80,Melons grow in warm climates with sandy soil.
Peach,Winter,6.0,7.0,10,20,60,120,Peach requires cold winters and warm summers.
Plum,Winter,6.0,7.0,10,20,60,120,Plum requires temperate climate with winter chilling.
Cherry,Winter,6.0,7.0,5,20,70,120,Cherry requires cold climate for flowering.
Almond,Winter,6.0,7.0,10,20,40,100,Almond needs cold winters and dry summers.
Walnut,Winter,6.0,7.0,10,20,50,120,Walnut grows in temperate climates.
Cashew,Summer,5.5,7.0,20,30,60,150,Cashew requires coastal tropical climate.
Olive,Any,6.0,8.0,15,30,50,100,Olives require Mediterranean climate.
Avocado,Any,5.5,7.0,15,30,100,200,Avocado grows in tropical and subtropical climates.
Chili,Any,5.5,7.0,20,30,50,100,Chili requires warm climate and well-drained soil.
Pepper,Any,5.5,6.5,20,30,100,200,Pepper grows in tropical humid climate.
Coriander,Winter,6.0,7.5,10,25,40,100,Coriander grows well in cool climates with well-drained soil. 
Cumin,Winter,6.0,8.0,15,30,30,70,Cumin requires arid climate with well-drained soil.
Fennel,Winter,6.0,7.5,10,25,40,100,Fennel grows well in cool climates with sandy loam soil.
Bajra,Kharif,5.5,7.5,20,30,40,100,Bajra is a drought-resistant millet grown in arid regions.
Sunflower,Summer,6.0,7.5,20,30,40,100,Sunflower is an oilseed crop adaptable to many climates.
Soybean,Kharif,6.0,7.0,20,30,70,120,Soybean requires moderate temperature and rainfall.
Cotton,Summer,5.8,8.0,20,30,60,120,Cotton grows best in warm, dry climates.
Sugarcane,Summer,6.0,7.5,20,35,75,150,Sugarcane requires warm, humid conditions.
Maize,Any,5.5,7.0,18,27,50,100,Maize is versatile and grows in many climates.
Rice,Kharif,5.0,6.5,20,35,100,200,Rice requires high rainfall and warm weather.
Wheat,Winter,6.0,7.5,10,25,50,100,Wheat is a staple cereal crop grown in temperate climates.
